jijum,day,temp,templ,mm,qc,ms,qcp,qcd,qc¿¡,tempcod,tempcop,hpa,esul,hpa2,qcp2,hpa3,hpap,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11,hr12,hr13,hr14,hr15,hr16,hr17,hr18,hr19
133,2019-01-01 1:00,-4.4,0,,,0.6,,90,,61,0,2.7,-10.8,1026.7,0,1035.7,0,,9,,,,9,9,,11,1357,,,-3.2,0,-1.7,-1.2,0.6,1.5,
133,2019-01-01 2:00,-3.9,0,,,0.4,,0,,59,0,2.7,-10.7,1026.7,0,1035.7,0,,9,,,,9,9,,10,1471,,,-3.4,0,-1.6,-1.1,0.5,1.5,
133,2019-01-01 3:00,-4.4,0,,,1,,200,,61,0,2.7,-10.8,1027.2,0,1036.2,0,,9,,,,7,7,Sc,11,1345,,,-4.9,0,-2,-1.2,0.6,1.5,
133,2019-01-01 4:00,-5.1,0,,,0.7,,320,,66,0,2.8,-10.4,1026.7,0,1035.7,0,,9,,,,3,3,Sc,11,1310,,,-6.2,0,-2.6,-1.3,0.5,1.5,
133,2019-01-01 5:00,-5.5,0,,,0,,0,,68,0,2.8,-10.4,1026.4,0,1035.4,0,,9,,,,7,7,Sc,11,1210,,,-6.3,0,-2.8,-1.4,0.6,1.5,
133,2019-01-01 6:00,-5.3,0,,,0.4,,0,,70,0,2.9,-9.9,1026.5,0,1035.5,0,,9,,,,8,8,Sc,11,1277,,,-5.6,0,-2.6,-1.5,0.5,1.5,
133,2019-01-01 7:00,-5.6,0,,,0.7,,110,,73,0,3,-9.6,1025.8,0,1034.8,0,,9,,,,7,7,Sc,12,1168,,,-6.1,0,-2.7,-1.5,0.5,1.5,
133,2019-01-01 8:00,-6.1,0,,,1.2,,320,,76,0,3,-9.6,1025.8,0,1034.8,0,0,,0.01,,,3,3,Ac,37,946,,19,-6.4,0,-2.9,-1.6,0.5,1.5,
133,2019-01-01 9:00,-4.9,0,,,0.8,,320,,74,0,3.1,-8.8,1026,0,1035,0,0.5,,0.32,,,8,2,ScAc,12,1220,,19,-3,0,-2.3,-1.6,0.5,1.5,
133,2019-01-01 10:00,-2.8,0,,,0.7,,340,,68,0,3.4,-7.8,1025.9,0,1034.8,0,0.4,,0.69,,,8,4,ScAc,12,1364,,,-0.2,0,-1,-1.2,0.5,1.4,
